Count of combinations
% num: 1376256
dict_keys(['k_39', 'k_42', 'k_45', 'k_50'])
(162, 16, 16, 101): 6848
(162, 16, 16, 102): 6848
(162, 16, 16, 96): 6848
(162, 16, 16, 99): 6848
(162, 16, 16, 109): 6000
(162, 16, 16, 108): 6288
(162, 16, 16, 106): 6288
(162, 16, 16, 111): 6288
(162, 16, 16, 66): 5440
(162, 16, 16, 110): 6000
(162, 16, 16, 105): 6288
(162, 16, 16, 75): 6000
(162, 16, 16, 65): 5440
(162, 16, 16, 71): 5440
(162, 16, 16, 117): 6848
(162, 16, 16, 72): 6000
(162, 16, 16, 104): 6000
(162, 16, 16, 68): 5440
(162, 16, 16, 70): 6848
(162, 16, 16, 78): 6000
(162, 16, 16, 115): 6848
(162, 16, 16, 107): 6000
(162, 16, 16, 122): 6288
(162, 16, 16, 121): 6288
(162, 16, 16, 127): 6288
(162, 16, 16, 124): 6288
(162, 16, 16, 114): 5440
(162, 16, 16, 112): 6848
(162, 16, 16, 113): 5440
(162, 16, 16, 118): 6848
(162, 16, 16, 74): 6288
(162, 16, 16, 73): 6288
(162, 16, 16, 79): 6288
(162, 16, 16, 76): 6288
(162, 16, 16, 77): 6000
(162, 16, 16, 82): 5440
(162, 16, 16, 81): 5440
(162, 16, 16, 87): 5440
(162, 16, 16, 84): 5440
(162, 16, 16, 90): 6288
(162, 16, 16, 91): 6000
(162, 16, 16, 88): 6000
(162, 16, 16, 89): 6288
(162, 16, 16, 94): 6000
(162, 16, 16, 95): 6288
(162, 16, 16, 92): 6288
(162, 16, 16, 93): 6000
(162, 16, 16, 98): 5440
(162, 16, 16, 97): 5440
(162, 16, 16, 103): 5440
(162, 16, 16, 100): 5440
(162, 16, 16, 69): 6848
(162, 16, 16, 119): 5440
(162, 16, 16, 116): 5440
(162, 16, 16, 67): 6848
(162, 16, 16, 64): 6848
(162, 16, 16, 86): 6848
(162, 16, 16, 85): 6848
(162, 16, 16, 83): 6848
(162, 16, 16, 80): 6848
(162, 16, 16, 125): 6000
(162, 16, 16, 123): 6000
(162, 16, 16, 120): 6000
(162, 16, 16, 126): 6000
(162, 16, 16, 198): 6848
(162, 16, 16, 197): 6848
(162, 16, 16, 195): 6848
(162, 16, 16, 192): 6848
(162, 16, 16, 206): 6000
(162, 16, 16, 207): 6288
(162, 16, 16, 204): 6288
(162, 16, 16, 205): 6000
(162, 16, 16, 202): 6288
(162, 16, 16, 203): 6000
(162, 16, 16, 200): 6000
(162, 16, 16, 201): 6288
(162, 16, 16, 214): 6848
(162, 16, 16, 194): 5440
(162, 16, 16, 213): 6848
(162, 16, 16, 211): 6848
(162, 16, 16, 208): 6848
(162, 16, 16, 193): 5440
(162, 16, 16, 222): 6000
(162, 16, 16, 223): 6288
(162, 16, 16, 220): 6288
(162, 16, 16, 199): 5440
(162, 16, 16, 221): 6000
(162, 16, 16, 218): 6288
(162, 16, 16, 219): 6000
(162, 16, 16, 216): 6000
(162, 16, 16, 217): 6288
(162, 16, 16, 196): 5440
(162, 16, 16, 230): 6848
(162, 16, 16, 229): 6848
(162, 16, 16, 227): 6848
(162, 16, 16, 224): 6848
(162, 16, 16, 238): 6000
(162, 16, 16, 239): 6288
(162, 16, 16, 236): 6288
(162, 16, 16, 237): 6000
(162, 16, 16, 234): 6288
(162, 16, 16, 235): 6000
(162, 16, 16, 232): 6000
(162, 16, 16, 233): 6288
(162, 16, 16, 246): 6848
(162, 16, 16, 245): 6848
(162, 16, 16, 243): 6848
(162, 16, 16, 240): 6848
(162, 16, 16, 254): 6000
(162, 16, 16, 255): 6288
(162, 16, 16, 252): 6288
(162, 16, 16, 253): 6000
(162, 16, 16, 250): 6288
(162, 16, 16, 251): 6000
(162, 16, 16, 248): 6000
(162, 16, 16, 249): 6288
(162, 16, 16, 247): 5440
(162, 16, 16, 244): 5440
(162, 16, 16, 242): 5440
(162, 16, 16, 241): 5440
(162, 16, 16, 210): 5440
(162, 16, 16, 231): 5440
(162, 16, 16, 228): 5440
(162, 16, 16, 226): 5440
(162, 16, 16, 209): 5440
(162, 16, 16, 225): 5440
(162, 16, 16, 215): 5440
(162, 16, 16, 212): 5440
(162, 16, 16, 38): 5664
(162, 16, 16, 37): 5664
(162, 16, 16, 35): 5664
(162, 16, 16, 32): 5664
(162, 16, 16, 46): 4752
(162, 16, 16, 47): 4464
(162, 16, 16, 44): 4464
(162, 16, 16, 45): 4752
(162, 16, 16, 42): 4464
(162, 16, 16, 43): 4752
(162, 16, 16, 40): 4752
(162, 16, 16, 41): 4464
(162, 16, 16, 54): 5664
(162, 16, 16, 53): 5664
(162, 16, 16, 51): 5664
(162, 16, 16, 48): 5664
(162, 16, 16, 62): 4752
(162, 16, 16, 63): 4464
(162, 16, 16, 60): 4464
(162, 16, 16, 61): 4752
(162, 16, 16, 58): 4464
(162, 16, 16, 59): 4752
(162, 16, 16, 56): 4752
(162, 16, 16, 57): 4464
(162, 16, 16, 6): 5664
(162, 16, 16, 5): 5664
(162, 16, 16, 3): 5664
