Count of combinations
% num: 128
dict_keys(['k_28', 'k_35'])
(3, 2): 1
(4, 3): 2
(6, 0): 2
(8, 1): 1
(12, 6): 2
(10, 7): 1
(1, 4): 1
(14, 5): 2
(9, 10): 1
(2, 11): 1
(5, 8): 2
(7, 9): 2
(0, 14): 1
(11, 15): 1
(13, 12): 2
(15, 13): 2
(3, 3): 1
(4, 2): 2
(6, 1): 2
(8, 0): 1
(12, 7): 2
(10, 6): 1
(1, 5): 1
(14, 4): 2
(9, 11): 1
(2, 10): 1
(5, 9): 2
(7, 8): 2
(0, 15): 1
(11, 14): 1
(13, 13): 2
(15, 12): 2
(3, 6): 1
(4, 7): 2
(6, 4): 2
(8, 5): 1
(12, 2): 2
(10, 3): 1
(1, 0): 1
(14, 1): 2
(9, 14): 1
(2, 15): 1
(5, 12): 2
(7, 13): 2
(0, 10): 1
(11, 11): 1
(13, 8): 2
(15, 9): 2
(3, 7): 1
(4, 6): 2
(6, 5): 2
(8, 4): 1
(12, 3): 2
(10, 2): 1
(1, 1): 1
(14, 0): 2
(9, 15): 1
(2, 14): 1
(5, 13): 2
(7, 12): 2
(0, 11): 1
(11, 10): 1
(13, 9): 2
(15, 8): 2
(11, 2): 1
(0, 1): 1
(2, 7): 1
(9, 4): 1
(1, 10): 1
(10, 11): 1
(8, 14): 1
(3, 15): 1
(11, 3): 1
(0, 0): 1
(2, 6): 1
(9, 5): 1
(1, 11): 1
(10, 10): 1
(8, 15): 1
(3, 14): 1
(11, 6): 1
(0, 5): 1
(2, 3): 1
(9, 0): 1
(1, 14): 1
(10, 15): 1
(8, 10): 1
(3, 11): 1
(11, 7): 1
(0, 4): 1
(2, 2): 1
(9, 1): 1
(1, 15): 1
(10, 14): 1
(8, 11): 1
(3, 10): 1
time: 0.41742515563964844
