Count of combinations
% num: 1048576
dict_keys(['k_10', 'k_12', 'k_2', 'k_9'])
(0, 8, 0, 0): 112
(0, 6, 0, 7): 96
(0, 4, 0, 5): 80
(0, 3, 0, 11): 96
(0, 14, 0, 15): 64
(0, 1, 0, 9): 80
(0, 10, 0, 2): 64
(0, 12, 0, 13): 112
(0, 7, 0, 10): 96
(0, 5, 0, 1): 80
(0, 2, 0, 6): 96
(0, 9, 0, 4): 48
(0, 15, 0, 3): 64
(0, 13, 0, 8): 112
(0, 8, 0, 5): 112
(0, 9, 0, 0): 112
(0, 11, 0, 14): 64
(0, 9, 0, 5): 112
(1, 8, 0, 0): 112
(0, 0, 0, 12): 80
(0, 12, 0, 0): 112
(1, 12, 0, 0): 112
(0, 8, 0, 8): 112
(0, 7, 0, 7): 96
(0, 6, 0, 15): 96
(1, 10, 0, 7): 64
(0, 5, 0, 5): 80
(0, 7, 0, 2): 96
(0, 4, 0, 13): 80
(0, 5, 2, 0): 112
(0, 6, 0, 2): 96
(1, 6, 0, 7): 96
(0, 2, 0, 7): 96
(0, 3, 0, 3): 96
(0, 2, 2, 7): 96
(0, 5, 0, 0): 80
(0, 4, 0, 0): 80
(0, 9, 2, 5): 80
(0, 2, 0, 11): 96
(0, 2, 0, 14): 96
(1, 1, 0, 5): 80
(0, 0, 0, 5): 80
(1, 4, 0, 5): 80
(0, 14, 0, 7): 64
(0, 3, 0, 14): 96
(0, 15, 0, 15): 64
(1, 14, 0, 11): 64
(0, 14, 0, 10): 64
(0, 1, 0, 1): 80
(0, 7, 0, 11): 96
(1, 3, 0, 11): 96
(0, 7, 2, 11): 96
(0, 15, 0, 10): 64
(1, 3, 0, 15): 96
(1, 14, 0, 15): 64
(0, 1, 0, 12): 80
(0, 10, 0, 10): 64
(0, 10, 0, 15): 64
(0, 11, 2, 15): 64
(1, 4, 0, 9): 80
(0, 0, 0, 9): 80
(0, 5, 0, 9): 80
(0, 11, 0, 2): 64
(0, 12, 0, 5): 112
(1, 1, 0, 9): 80
(0, 11, 0, 7): 64
(0, 10, 0, 7): 64
(0, 13, 2, 9): 80
(0, 14, 0, 2): 64
(1, 10, 0, 2): 64
(0, 15, 2, 2): 64
(0, 12, 0, 8): 112
(1, 6, 0, 2): 96
(0, 13, 0, 13): 112
(1, 12, 0, 13): 112
(0, 7, 0, 15): 96
(0, 8, 0, 13): 112
(0, 0, 2, 13): 112
(1, 8, 0, 13): 112
(0, 6, 0, 10): 96
(0, 3, 0, 10): 96
(0, 5, 0, 4): 80
(1, 7, 0, 10): 96
(1, 0, 0, 10): 48
(0, 9, 0, 12): 48
(0, 3, 2, 10): 96
(0, 4, 0, 4): 80
(1, 5, 0, 1): 80
(0, 15, 0, 11): 64
(1, 11, 0, 1): 96
(0, 4, 0, 1): 80
